timestamp,tmv_x,tmv_y,tmv_z,twv_x,twv_y,twv_z
1554967269.407063,5.941707611,0.6517875791,0.03257923946,,,
1554967269.608778,5.988636971,0.5880377293,0.03523335606,,,
1554967269.810493,6.022340298,0.5213840604,0.0355190821,,,
1554967270.012221,6.054955482,0.4630557299,0.03908828273,,,
1554967270.213936,6.091608524,0.3997155726,0.04344439134,,,
1554967270.415652,6.133821011,0.3438787162,0.05007045344,,,
1554967270.617379,6.176820278,0.2951859236,0.05491216108,,,
1554967270.819146,6.222075939,0.2486167103,0.05800747126,,,
1554967271.020823,6.265602112,0.1887844503,0.06498965621,,,
1554967271.222525,6.307209969,0.1233170778,0.06630711257,,,
1554967271.424253,6.325541019,0.03354837373,0.01633801684,,,
1554967271.625968,6.359590054,-0.001287123538,0.08850898594,,,
1554967271.827696,6.392415524,-0.06516481191,0.09038701653,,,
1554967272.029424,6.42361927,-0.1278751045,0.08875177801,,,
1554967272.231127,6.454017639,-0.1974288672,0.08043079078,,,
1554967272.432829,6.484669209,-0.2656097114,0.07713038474,,,
1554967272.634839,6.514814854,-0.3419162929,0.07187524438,,,
1554967272.836336,6.551509857,-0.4189797044,0.06668437272,,,
1554967273.037987,6.583059311,-0.4828298092,0.06591127068,,,
1554967273.239703,6.610652924,-0.5370389819,0.06018832326,,,
1554967273.643133,6.689078331,-0.6674675941,0.03642523661,,,
1554967274.046576,6.75951004,-0.8097966313,0.02017557807,,,
1554967274.248304,6.793240547,-0.8786354661,0.01665172726,,,
1554967274.450007,6.829759598,-0.9448517561,0.01166228019,,,
1554967274.651722,6.860343456,-1.015167356,0.004018418957,,,
1554967274.853463,6.892690182,-1.08202219,-0.004601996392,,,
1554967275.055165,6.9252038,-1.146183968,-0.002545349067,,,
1554967275.458634,6.987579346,-1.27222836,0.004292661324,,,
1554967275.862051,7.04908371,-1.393742561,0.02504067682,,,
1554967276.063767,7.075527668,-1.461196899,0.03291877732,,,
1554967276.265469,7.102556705,-1.528286219,0.03227451071,,,
1554967276.467184,7.130243301,-1.595315337,0.02480800636,,,
1554967276.870627,7.184328556,-1.736566067,0.009970605373,,,
1554967277.274058,7.236330986,-1.873191118,0.01297123171,,,
1554967277.677514,7.304804802,-1.996030331,0.01429602504,,,
1554967278.080996,7.376909733,-2.14506197,0.008542081341,,,
1554967278.484362,7.433213234,-2.299970865,0.007213545963,,,
1554967278.887844,7.492786884,-2.446492434,0.0006022806047,,,
1554967279.291235,7.561879158,-2.584797621,0.003870242974,,,
1554967279.492964,7.592392445,-2.661798954,0.001965682022,,,
1554967279.896407,7.631896496,-2.813212156,-0.00680898875,,,
1554967280.299812,7.680898666,-2.945785284,-0.0132045038,,,
1554967280.703268,7.73724699,-3.082930088,-0.009873171337,,,
1554967281.106736,7.781463623,-3.220258951,0.002857328858,,,
1554967281.510141,7.848617554,-3.341404438,0.02279257588,,,
1554967281.91361,7.90471983,-3.469189167,0.03756976128,,,
1554967282.317002,7.954323292,-3.595128298,0.03146544099,,,
1554967282.720458,7.988501072,-3.748520136,0.03632469103,,,
1554967283.123901,8.047307014,-3.891218662,0.05704446882,,,
1554967283.527319,8.106402397,-4.032901287,0.06976574659,,,
1554967283.930749,8.164120674,-4.174879074,0.07982010394,,,
1554967284.334244,8.221290588,-4.28771162,0.09291280061,,,
1554967284.535908,8.24768734,-4.340879917,0.09650028497,,,
1554967284.939338,8.29036808,-4.477374077,0.09582908452,,,
1554967285.141053,8.309875488,-4.549687862,0.09140557796,,,
1554967285.544509,8.346209526,-4.720547676,0.07014732063,,,
1554967285.947914,8.394891739,-4.879670143,0.04692432657,,,
1554967286.351357,8.451171875,-5.023811817,0.03732035682,,,
1554967286.553111,8.47707653,-5.087826729,0.02611580491,,,
1554967286.754826,8.499253273,-5.155831337,0.01795413904,,,
1554967287.158231,8.552446365,-5.289072514,0.01734894328,,,
1554967287.360048,8.581367493,-5.35601902,0.02622345649,,,
1554967287.763402,8.642217636,-5.478423595,0.05407937244,,,
1554967288.166845,8.711983681,-5.576201439,0.07551671565,,,
1554967288.368547,8.748158455,-5.643304348,0.08694578707,,,
1554967288.57025,8.779650688,-5.731015682,0.09721853584,,,
1554967288.97368,8.827092171,-5.895674229,0.1069841608,,,
1554967289.377136,8.87129879,-6.044773102,0.1046745926,,,
1554967289.78058,8.924529076,-6.178375721,0.08098091185,,,
1554967290.183997,8.982593536,-6.312063217,0.03985252976,,,
1554967290.385763,9.008113861,-6.379536629,0.02825623564,,,
1554967290.78922,9.074980736,-6.534184456,0.0168949347,,,
1554967291.192586,9.134911537,-6.688475132,0.03333910555,,,
1554967291.394314,9.159845352,-6.762135983,0.04565041512,,,
1554967291.596413,9.178702354,-6.827207565,0.06066212803,,,
1554967291.79841,9.204021454,-6.895816803,0.07042006403,,,
1554967292.201188,9.250804901,-7.028765678,0.06894053519,,,
1554967292.402915,9.262709618,-7.090782642,0.06545783579,,,
1554967292.806333,9.280619621,-7.245735645,0.06694114208,,,
1554967293.008061,9.292037964,-7.325489521,0.07014749199,,,
1554967293.209776,9.308594704,-7.395653725,0.07525662333,,,
1554967293.411504,9.326254845,-7.456497192,0.07373975217,,,
1554967293.613194,9.352298737,-7.507318974,0.0711800158,,,
1554967293.814999,9.38045311,-7.555082798,0.06954759359,,,
1554967294.016663,9.404003143,-7.602694511,0.06607139111,,,
1554967294.218391,9.423884392,-7.654035091,0.06389398873,,,
1554967294.420068,9.446035385,-7.707125187,0.06184588745,,,
1554967294.621783,9.470592499,-7.759077549,0.06631485373,,,
1554967295.025226,9.523786545,-7.854352951,0.07384841144,,,
1554967295.226954,9.551245689,-7.902962685,0.08137987554,,,
1554967295.428669,9.576721191,-7.947686672,0.08895923942,,,
1554967295.630397,9.607748032,-7.991237164,0.09221109748,,,
1554967295.832099,9.635914803,-8.039895058,0.08405082673,,,
1554967296.437258,9.694636345,-8.161441803,0.08664052188,,,
1554967296.840688,9.727091789,-8.245531082,0.1007046551,,,
1554967297.042403,9.742889404,-8.29119873,0.1115115359,,,
1554967297.244132,9.767932892,-8.340402603,0.1172347739,,,
1554967297.445847,9.788080215,-8.389490128,0.1127279475,,,
1554967297.647562,9.806189537,-8.439827919,0.1059223488,,,
1554967297.84929,9.825213432,-8.4914217,0.09700001031,,,
1554967298.051005,9.843922615,-8.52748394,0.08853586763,,,
1554967298.252707,9.855825424,-8.562147141,0.07083922625,,,
1554967298.454589,9.866780281,-8.592747688,0.06027559191,,,
1554967298.65665,9.872276306,-8.623612404,0.05107824877,,,
1554967298.857892,9.874261856,-8.648901939,0.04716485739,,,
1554967299.059632,9.877652168,-8.667280197,0.04935221002,,,
1554967299.261296,9.879169464,-8.683686256,0.05416962877,,,
1554967299.463012,9.880251884,-8.701832771,0.05968191847,,,
1554967299.665546,9.884494781,-8.717799187,0.07032673806,,,
1554967299.866455,9.889995575,-8.733730316,0.08669806272,,,
1554967300.06817,9.894256592,-8.757302284,0.09636811912,,,
1554967300.269898,9.900905609,-8.790499687,0.1058253869,,,
1554967300.673328,9.907752037,-8.856059074,0.1143520325,,,
1554967301.076836,9.910821915,-8.923006058,0.1189999208,,,
1554967301.681904,9.94208622,-8.996525764,0.1129236296,,,
1554967301.883696,9.955807686,-9.020523071,0.1133445948,,,
1554967302.085373,9.967644691,-9.043496132,0.1136043891,,,
1554967302.287076,9.980859756,-9.070842743,0.1136674061,,,
